"産業小分類","総数(経営組織)_事業所数","総数(経営組織)_従業者数(注)","総数(経営組織)_従業者数(注)_男","総数(経営組織)_従業者数(注)_女","総数(経営組織)_従業者数(注)_うち常用雇用者(注)","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_男","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_女","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)_男","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)_女"
"　　　65 金融商品取引業，商品先物取引業","26.0","429.0","265.0","164.0","425.0","262.0","163.0","372.0","250.0","122.0"
"　　　　650 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　651 金融商品取引業","25.0","418.0","256.0","162.0","414.0","253.0","161.0","361.0","241.0","120.0"
"　　　　652 商品先物取引業，商品投資業","1.0","11.0","9.0","2.0","11.0","9.0","2.0","11.0","9.0","2.0"
"　　　66 補助的金融業等","9.0","158.0","125.0","33.0","129.0","102.0","27.0","112.0","91.0","21.0"
"　　　　660 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　661 補助的金融業，金融附帯業","8.0","151.0","119.0","32.0","122.0","96.0","26.0","112.0","91.0","21.0"
"　　　　662 信託業","-","-","-","-","-","-","-","-","-","-"
"　　　　663 金融代理業","1.0","7.0","6.0","1.0","7.0","6.0","1.0","-","-","-"
"　　　67 保険業(保険媒介代理業，保険サービス業を含む)","463.0","4356.0","1475.0","2881.0","3806.0","1102.0","2704.0","3224.0","939.0","2285.0"
"　　　　670 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　671 生命保険業","108.0","2362.0","360.0","2002.0","2362.0","360.0","2002.0","2137.0","314.0","1823.0"
"　　　　672 損害保険業","40.0","629.0","307.0","322.0","613.0","294.0","319.0","473.0","251.0","222.0"
"　　　　673 共済事業・少額短期保険業","20.0","163.0","126.0","37.0","128.0","92.0","36.0","109.0","88.0","21.0"
"　　　　674 保険媒介代理業","285.0","1160.0","650.0","510.0","667.0","328.0","339.0","473.0","259.0","214.0"
"　　　　675 保険サービス業","10.0","42.0","32.0","10.0","36.0","28.0","8.0","32.0","27.0","5.0"
"　　　JZ 金融業，保険業 内格付不能","17.0","470.0","315.0","155.0","410.0","268.0","142.0","352.0","259.0","93.0"
"　　　　JZZ 金融業，保険業 内格付不能","17.0","470.0","315.0","155.0","410.0","268.0","142.0","352.0","259.0","93.0"
"　　K 不動産業，物品賃貸業","3018.0","7942.0","4572.0","3365.0","3538.0","1994.0","1540.0","2256.0","1443.0","811.0"
"　　　68 不動産取引業","332.0","1253.0","790.0","463.0","743.0","441.0","302.0","575.0","387.0","188.0"
"　　　　680 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　681 建物売買業，土地売買業","99.0","509.0","324.0","185.0","321.0","195.0","126.0","247.0","168.0","79.0"
"　　　　682 不動産代理業・仲介業","233.0","744.0","466.0","278.0","422.0","246.0","176.0","328.0","219.0","109.0"
"　　　69 不動産賃貸業・管理業","2439.0","5296.0","2859.0","2436.0","1720.0","847.0","873.0","956.0","508.0","448.0"
"　　　　690 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　691 不動産賃貸業(貸家業，貸間業を除く)","286.0","895.0","506.0","389.0","342.0","167.0","175.0","213.0","132.0","81.0"
"　　　　692 貸家業，貸間業","1338.0","2689.0","1380.0","1308.0","752.0","273.0","479.0","442.0","188.0","254.0"
"　　　　693 駐車場業","650.0","1017.0","545.0","472.0","161.0","92.0","69.0","97.0","51.0","46.0"
"　　　　694 不動産管理業","165.0","695.0","428.0","267.0","465.0","315.0","150.0","204.0","137.0","67.0"
"　　　K1 不動産業 内格付不能","24.0","92.0","41.0","51.0","55.0","15.0","40.0","14.0","7.0","7.0"
"　　　　K1Z 不動産業 内格付不能","24.0","92.0","41.0","51.0","55.0","15.0","40.0","14.0","7.0","7.0"
"　　　70 物品賃貸業","223.0","1301.0","882.0","415.0","1020.0","691.0","325.0","711.0","541.0","168.0"
"　　　　700 管理，補助的経済活動を行う事業所","3.0","7.0","7.0","-","7.0","7.0","-","6.0","6.0","-"
"　　　　701 各種物品賃貸業","2.0","18.0","13.0","5.0","18.0","13.0","5.0","16.0","11.0","5.0"
"　　　　702 産業用機械器具賃貸業","75.0","471.0","367.0","104.0","363.0","293.0","70.0","318.0","267.0","51.0"
"　　　　703 事務用機械器具賃貸業","3.0","5.0","4.0","1.0","2.0","2.0","-","1.0","1.0","-"
"　　　　704 自動車賃貸業","35.0","203.0","167.0","36.0","164.0","134.0","30.0","121.0","98.0","23.0"
"　　　　705 スポーツ・娯楽用品賃貸業","4.0","18.0","15.0","3.0","14.0","11.0","3.0","10.0","8.0","2.0"
"　　　　709 その他の物品賃貸業","96.0","561.0","297.0","260.0","439.0","222.0","213.0","226.0","141.0","83.0"
"　　　　70Z 物品賃貸業 内格付不能","5.0","18.0","12.0","6.0","13.0","9.0","4.0","13.0","9.0","4.0"
"　　L 学術研究，専門・技術サービス業","1461.0","7294.0","4802.0","2485.0","5123.0","3157.0","1960.0","4152.0","2840.0","1306.0"
"　　　71 学術・開発研究機関","26.0","368.0","213.0","155.0","348.0","201.0","147.0","232.0","168.0","64.0"
"　　　　710 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　711 自然科学研究所","22.0","299.0","181.0","118.0","293.0","175.0","118.0","213.0","155.0","58.0"
"　　　　712 人文・社会科学研究所","4.0","69.0","32.0","37.0","55.0","26.0","29.0","19.0","13.0","6.0"
"　　　　71Z 学術・開発研究機関 内格付不能","-","-","-","-","-","-","-","-","-","-"
"　　　72 専門サービス業(他に分類されないもの)","665.0","2667.0","1355.0","1305.0","1763.0","675.0","1082.0","1449.0","637.0","806.0"
"　　　　720 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　721 法律事務所，特許事務所","52.0","245.0","107.0","138.0","188.0","57.0","131.0","179.0","55.0","124.0"
"　　　　722 公証人役場，司法書士事務所，土地家屋調査士事務所","182.0","486.0","304.0","182.0","245.0","107.0","138.0","199.0","100.0","99.0"
"　　　　723 行政書士事務所","45.0","97.0","47.0","50.0","43.0","8.0","35.0","28.0","7.0","21.0"
"　　　　724 公認会計士事務所，税理士事務所","183.0","941.0","449.0","485.0","727.0","272.0","449.0","624.0","262.0","356.0"
"　　　　725 社会保険労務士事務所","47.0","127.0","44.0","83.0","69.0","12.0","57.0","53.0","10.0","43.0"
"　　　　726 デザイン業","34.0","159.0","80.0","79.0","94.0","30.0","64.0","69.0","25.0","44.0"
"　　　　727 著述・芸術家業","4.0","4.0","2.0","2.0","-","-","-","-","-","-"
"　　　　728 経営コンサルタント業，純粋持株会社","49.0","198.0","115.0","83.0","89.0","50.0","39.0","67.0","46.0","21.0"
"　　　　729 その他の専門サービス業","69.0","410.0","207.0","203.0","308.0","139.0","169.0","230.0","132.0","98.0"
"　　　73 広告業","33.0","234.0","148.0","86.0","187.0","116.0","71.0","129.0","85.0","44.0"
"　　　　730 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　731 広告業","33.0","234.0","148.0","86.0","187.0","116.0","71.0","129.0","85.0","44.0"
"　　　74 技術サービス業(他に分類されないもの)","727.0","3986.0","3064.0","922.0","2804.0","2154.0","650.0","2321.0","1939.0","382.0"
"　　　　740 管理，補助的経済活動を行う事業所","4.0","26.0","22.0","4.0","23.0","19.0","4.0","23.0","19.0","4.0"
"　　　　741 獣医業","59.0","268.0","86.0","182.0","159.0","23.0","136.0","127.0","19.0","108.0"
"　　　　742 土木建築サービス業","487.0","1986.0","1589.0","397.0","1213.0","973.0","240.0","1046.0","887.0","159.0"
"　　　　743 機械設計業","19.0","280.0","198.0","82.0","241.0","169.0","72.0","157.0","138.0","19.0"
"　　　　744 商品・非破壊検査業","16.0","360.0","305.0","55.0","322.0","272.0","50.0","263.0","243.0","20.0"
"　　　　745 計量証明業","7.0","42.0","36.0","6.0","33.0","28.0","5.0","27.0","24.0","3.0"
"　　　　746 写真業","76.0","263.0","144.0","119.0","146.0","64.0","82.0","81.0","45.0","36.0"
"　　　　749 その他の技術サービス業","59.0","761.0","684.0","77.0","667.0","606.0","61.0","597.0","564.0","33.0"
"　　　LZ 学術研究，専門・技術サービス業 内格付不能","10.0","39.0","22.0","17.0","21.0","11.0","10.0","21.0","11.0","10.0"
"　　　　LZZ 学術研究，専門・技術サービス業 内格付不能","10.0","39.0","22.0","17.0","21.0","11.0","10.0","21.0","11.0","10.0"
"　　M 宿泊業，飲食サービス業","5927.0","37377.0","13337.0","23755.0","26674.0","9234.0","17158.0","6000.0","3601.0","2388.0"
"　　　75 宿泊業","618.0","7288.0","3083.0","4205.0","5761.0","2493.0","3268.0","2311.0","1446.0","865.0"
"　　　　750 管理，補助的経済活動を行う事業所","2.0","7.0","6.0","1.0","4.0","3.0","1.0","1.0","1.0","-"
"　　　　751 旅館，ホテル","540.0","6286.0","2561.0","3725.0","4891.0","2030.0","2861.0","1910.0","1156.0","754.0"
"　　　　752 簡易宿所","22.0","129.0","59.0","70.0","65.0","25.0","40.0","15.0","9.0","6.0"
"　　　　753 下宿業","2.0","3.0","1.0","2.0","-","-","-","-","-","-"
"　　　　759 その他の宿泊業","52.0","863.0","456.0","407.0","801.0","435.0","366.0","385.0","280.0","105.0"
"　　　　75Z 宿泊業 内格付不能","-","-","-","-","-","-","-","-","-","-"
"　　　76 飲食店","4920.0","25910.0","9173.0","16452.0","17292.0","5918.0","11092.0","3050.0","1819.0","1220.0"
"　　　　760 管理，補助的経済活動を行う事業所","10.0","47.0","26.0","21.0","29.0","15.0","14.0","12.0","9.0","3.0"
"　　　　761 食堂，レストラン(専門料理店を除く)","444.0","3554.0","1075.0","2243.0","2802.0","739.0","1827.0","447.0","250.0","188.0"
"　　　　762 専門料理店","1206.0","8677.0","3555.0","5076.0","6271.0","2374.0","3851.0","1342.0","867.0","473.0"
"　　　　763 そば・うどん店","125.0","978.0","366.0","612.0","738.0","254.0","484.0","96.0","70.0","26.0"
"　　　　764 すし店","190.0","2233.0","968.0","1264.0","1945.0","815.0","1130.0","238.0","170.0","68.0"
"　　　　765 酒場，ビヤホール","742.0","2899.0","1215.0","1684.0","1605.0","686.0","919.0","340.0","225.0","115.0"
"　　　　766 バー，キャバレー，ナイトクラブ","773.0","2339.0","272.0","2067.0","967.0","70.0","897.0","137.0","23.0","114.0"
"　　　　767 喫茶店","1115.0","2949.0","773.0","2174.0","1247.0","240.0","1007.0","270.0","89.0","181.0"
"　　　　769 その他の飲食店","315.0","2234.0","923.0","1311.0","1688.0","725.0","963.0","168.0","116.0","52.0"
"　　　77 持ち帰り・配達飲食サービス業","318.0","3901.0","1018.0","2883.0","3449.0","798.0","2651.0","604.0","325.0","279.0"
"　　　　770 管理，補助的経済活動を行う事業所","2.0","4.0","-","4.0","4.0","-","4.0","4.0","-","4.0"
"　　　　771 持ち帰り飲食サービス業","113.0","638.0","240.0","398.0","457.0","162.0","295.0","56.0","40.0","16.0"
"　　　　772 配達飲食サービス業","203.0","3259.0","778.0","2481.0","2988.0","636.0","2352.0","544.0","285.0","259.0"
"　　　M2 飲食店，持ち帰り・配達飲食サービス業 内格付不能","71.0","278.0","63.0","215.0","172.0","25.0","147.0","35.0","11.0","24.0"
"　　　　M2Z 飲食店，持ち帰り・配達飲食サービス業 内格付不能","71.0","278.0","63.0","215.0","172.0","25.0","147.0","35.0","11.0","24.0"
"　　N 生活関連サービス業，娯楽業","4458.0","17230.0","7413.0","9815.0","10818.0","4335.0","6481.0","4963.0","2639.0","2322.0"
"　　　78 洗濯・理容・美容・浴場業","3406.0","8869.0","3238.0","5631.0","4621.0","1308.0","3313.0","2212.0","882.0","1330.0"
"　　　　780 管理，補助的経済活動を行う事業所","1.0","4.0","-","4.0","4.0","-","4.0","3.0","-","3.0"
"　　　　781 洗濯業","499.0","2297.0","815.0","1482.0","1621.0","470.0","1151.0","369.0","226.0","143.0"
"　　　　782 理容業","1065.0","1873.0","1218.0","655.0","469.0","216.0","253.0","377.0","189.0","188.0"
"　　　　783 美容業","1627.0","3514.0","894.0","2620.0","1638.0","402.0","1236.0","1195.0","381.0","814.0"
"　　　　784 一般公衆浴場業","29.0","167.0","62.0","105.0","121.0","37.0","84.0","29.0","15.0","14.0"
"　　　　785 その他の公衆浴場業","24.0","551.0","180.0","371.0","478.0","153.0","325.0","94.0","49.0","45.0"
"　　　　78A 一般公衆浴場業・その他の公衆浴場業 格付不能","-","-","-","-","-","-","-","-","-","-"
"　　　　789 その他の洗濯・理容・美容・浴場業","161.0","463.0","69.0","394.0","290.0","30.0","260.0","145.0","22.0","123.0"
"　　　79 その他の生活関連サービス業","470.0","2703.0","1209.0","1494.0","1843.0","787.0","1056.0","1005.0","569.0","436.0"
"　　　　790 管理，補助的経済活動を行う事業所","1.0","1.0","-","1.0","1.0","-","1.0","1.0","-","1.0"
"　　　　791 旅行業","71.0","353.0","201.0","152.0","264.0","138.0","126.0","197.0","122.0","75.0"
"　　　　793 衣服裁縫修理業","33.0","69.0","21.0","48.0","28.0","2.0","26.0","4.0","-","4.0"
"　　　　794 物品預り業","32.0","74.0","36.0","38.0","33.0","19.0","14.0","18.0","9.0","9.0"
"　　　　795 火葬・墓地管理業","11.0","47.0","24.0","23.0","35.0","17.0","18.0","18.0","12.0","6.0"
"　　　　796 冠婚葬祭業","121.0","1509.0","616.0","893.0","1121.0","448.0","673.0","657.0","366.0","291.0"
"　　　　799 他に分類されない生活関連サービス業","201.0","650.0","311.0","339.0","361.0","163.0","198.0","110.0","60.0","50.0"
"　　　80 娯楽業","564.0","5565.0","2933.0","2630.0","4292.0","2218.0","2072.0","1722.0","1175.0","545.0"
"　　　　800 管理，補助的経済活動を行う事業所","2.0","2.0","2.0","-","-","-","-","-","-","-"
"　　　　801 映画館","5.0","124.0","50.0","74.0","10.0","7.0","3.0","10.0","7.0","3.0"
"　　　　802 興行場(別掲を除く)，興行団","7.0","43.0","23.0","18.0","32.0","14.0","16.0","20.0","11.0","7.0"
"　　　　80A 映画館・興行場，興行団 格付不能","-","-","-","-","-","-","-","-","-","-"
"　　　　803 競輪・競馬等の競走場，競技団","2.0","47.0","13.0","34.0","47.0","13.0","34.0","13.0","12.0","1.0"
"　　　　804 スポーツ施設提供業","102.0","1763.0","818.0","945.0","1550.0","688.0","862.0","713.0","417.0","296.0"
"　　　　805 公園，遊園地","19.0","263.0","151.0","112.0","217.0","119.0","98.0","45.0","33.0","12.0"
"　　　　806 遊戯場","137.0","2368.0","1358.0","1010.0","1997.0","1162.0","835.0","755.0","593.0","162.0"
"　　　　809 その他の娯楽業","290.0","955.0","518.0","437.0","439.0","215.0","224.0","166.0","102.0","64.0"
"　　　NZ 生活関連サービス業，娯楽業 内格付不能","18.0","93.0","33.0","60.0","62.0","22.0","40.0","24.0","13.0","11.0"
"　　　　NZZ 生活関連サービス業，娯楽業 内格付不能","18.0","93.0","33.0","60.0","62.0","22.0","40.0","24.0","13.0","11.0"
"　　O 教育，学習支援業","1535.0","11081.0","5226.0","5849.0","7991.0","3916.0","4070.0","4998.0","2727.0","2266.0"
"　　　81 学校教育","108.0","5484.0","2548.0","2936.0","4712.0","2216.0","2496.0","3488.0","1736.0","1752.0"
"　　　　810 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　811 幼稚園","41.0","775.0","124.0","651.0","734.0","103.0","631.0","477.0","62.0","415.0"
"　　　　812 小学校","2.0","94.0","40.0","54.0","91.0","40.0","51.0","72.0","35.0","37.0"
"　　　　813 中学校","7.0","214.0","121.0","93.0","209.0","120.0","89.0","158.0","94.0","64.0"
"　　　　814 高等学校，中等教育学校","10.0","644.0","428.0","216.0","619.0","411.0","208.0","423.0","313.0","110.0"
"　　　　815 特別支援学校","1.0","41.0","19.0","22.0","41.0","19.0","22.0","31.0","16.0","15.0"
"　　　　816 高等教育機関","16.0","3126.0","1483.0","1643.0","2500.0","1244.0","1256.0","2035.0","1049.0","986.0"
"　　　　817 専修学校，各種学校","31.0","590.0","333.0","257.0","518.0","279.0","239.0","292.0","167.0","125.0"
"　　　　818 学校教育支援機関","-","-","-","-","-","-","-","-","-","-"
"　　　　81Z 学校教育 内格付不能","-","-","-","-","-","-","-","-","-","-"
"　　　82 その他の教育，学習支援業","1427.0","5597.0","2678.0","2913.0","3279.0","1700.0","1574.0","1510.0","991.0","514.0"
"　　　　820 管理，補助的経済活動を行う事業所","1.0","2.0","2.0","-","-","-","-","-","-","-"
"　　　　821 社会教育","33.0","569.0","314.0","255.0","445.0","260.0","185.0","364.0","211.0","153.0"
"　　　　822 職業・教育支援施設","22.0","215.0","157.0","58.0","195.0","145.0","50.0","139.0","109.0","30.0"
"　　　　823 学習塾","626.0","2721.0","1303.0","1418.0","1535.0","746.0","789.0","402.0","265.0","137.0"
"　　　　824 教養・技能教授業","689.0","1424.0","431.0","987.0","624.0","191.0","428.0","245.0","106.0","134.0"
"　　　　829 他に分類されない教育，学習支援業","50.0","640.0","454.0","186.0","461.0","346.0","115.0","348.0","293.0","55.0"
"　　　　82Z その他の教育，学習支援業 内格付不能","6.0","26.0","17.0","9.0","19.0","12.0","7.0","12.0","7.0","5.0"
"　　P 医療，福祉","3398.0","52474.0","14216.0","38258.0","45728.0","10865.0","34863.0","27547.0","8076.0","19471.0"
"　　　83 医療業","2333.0","27392.0","7872.0","19520.0","22909.0","5106.0","17803.0","15713.0","4039.0","11674.0"
"　　　　830 管理，補助的経済活動を行う事業所","1.0","9.0","6.0","3.0","9.0","6.0","3.0","8.0","6.0","2.0"
"　　　　831 病院","73.0","12396.0","3576.0","8820.0","11873.0","3235.0","8638.0","9644.0","2719.0","6925.0"
"　　　　832 一般診療所","835.0","8975.0","2101.0","6874.0","7065.0","1039.0","6026.0","3883.0","721.0","3162.0"
"　　　　833 歯科診療所","513.0","2869.0","778.0","2091.0","2065.0","249.0","1816.0","1267.0","202.0","1065.0"
"　　　　834 助産・看護業","34.0","370.0","88.0","282.0","288.0","66.0","222.0","182.0","54.0","128.0"
"　　　　835 療術業","829.0","2436.0","1130.0","1306.0","1354.0","368.0","986.0","566.0","222.0","344.0"
"　　　　836 医療に附帯するサービス業","48.0","337.0","193.0","144.0","255.0","143.0","112.0","163.0","115.0","48.0"
"　　　84 保健衛生","12.0","96.0","53.0","43.0","92.0","50.0","42.0","65.0","42.0","23.0"
"　　　　840 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　842 健康相談施設","5.0","46.0","18.0","28.0","42.0","15.0","27.0","32.0","14.0","18.0"
"　　　　849 その他の保健衛生","7.0","50.0","35.0","15.0","50.0","35.0","15.0","33.0","28.0","5.0"
"　　　85 社会保険・社会福祉・介護事業","1050.0","24964.0","6281.0","18683.0","22708.0","5701.0","17007.0","11755.0","3987.0","7768.0"
"　　　　850 管理，補助的経済活動を行う事業所","1.0","4.0","2.0","2.0","4.0","2.0","2.0","2.0","1.0","1.0"
"　　　　851 社会保険事業団体","20.0","461.0","246.0","215.0","443.0","239.0","204.0","250.0","162.0","88.0"
"　　　　853 児童福祉事業","135.0","2831.0","408.0","2423.0","2635.0","359.0","2276.0","1468.0","231.0","1237.0"
"　　　　854 老人福祉・介護事業","692.0","17624.0","4268.0","13356.0","16057.0","3855.0","12202.0","8204.0","2745.0","5459.0"
"　　　　855 障害者福祉事業","143.0","2471.0","1040.0","1431.0","2302.0","964.0","1338.0","1352.0","656.0","696.0"
"　　　　859 その他の社会保険・社会福祉・介護事業","59.0","1573.0","317.0","1256.0","1267.0","282.0","985.0","479.0","192.0","287.0"
"　　　PZ 医療，福祉 内格付不能","3.0","22.0","10.0","12.0","19.0","8.0","11.0","14.0","8.0","6.0"
"　　　　PZZ 医療，福祉 内格付不能","3.0","22.0","10.0","12.0","19.0","8.0","11.0","14.0","8.0","6.0"
"　　Q 複合サービス事業","471.0","4482.0","2739.0","1743.0","3996.0","2342.0","1654.0","3063.0","2139.0","924.0"
"　　　86 郵便局","309.0","1713.0","862.0","851.0","1633.0","841.0","792.0","1116.0","773.0","343.0"
"　　　　860 管理，補助的経済活動を行う事業所","1.0","12.0","12.0","-","12.0","12.0","-","9.0","9.0","-"
"　　　　861 郵便局","263.0","1571.0","820.0","751.0","1571.0","820.0","751.0","1099.0","762.0","337.0"
"　　　　862 郵便局受託業","45.0","130.0","30.0","100.0","50.0","9.0","41.0","8.0","2.0","6.0"
"　　　87 協同組合(他に分類されないもの)","162.0","2769.0","1877.0","892.0","2363.0","1501.0","862.0","1947.0","1366.0","581.0"
"　　　　870 管理，補助的経済活動を行う事業所","2.0","5.0","2.0","3.0","4.0","1.0","3.0","-","-","-"
"　　　　871 農林水産業協同組合(他に分類されないもの)","149.0","2743.0","1864.0","879.0","2343.0","1494.0","849.0","1937.0","1361.0","576.0"
"　　　　872 事業協同組合(他に分類されないもの)","11.0","21.0","11.0","10.0","16.0","6.0","10.0","10.0","5.0","5.0"
"　　　　87Z 協同組合(他に分類されないもの) 内格付不能","-","-","-","-","-","-","-","-","-","-"
"　　R サービス業(他に分類されないもの)","3701.0","23382.0","14686.0","8696.0","16849.0","10252.0","6597.0","9990.0","7195.0","2795.0"
"　　　88 廃棄物処理業","226.0","1978.0","1507.0","471.0","1454.0","1169.0","285.0","1134.0","960.0","174.0"
"　　　　880 管理，補助的経済活動を行う事業所","2.0","6.0","3.0","3.0","6.0","3.0","3.0","6.0","3.0","3.0"
"　　　　881 一般廃棄物処理業","163.0","1310.0","996.0","314.0","931.0","750.0","181.0","762.0","645.0","117.0"
"　　　　882 産業廃棄物処理業","61.0","662.0","508.0","154.0","517.0","416.0","101.0","366.0","312.0","54.0"
"　　　　889 その他の廃棄物処理業","-","-","-","-","-","-","-","-","-","-"
"　　　89 自動車整備業","736.0","2701.0","2012.0","689.0","1572.0","1176.0","396.0","1319.0","1056.0","263.0"
"　　　　890 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　891 自動車整備業","736.0","2701.0","2012.0","689.0","1572.0","1176.0","396.0","1319.0","1056.0","263.0"
"　　　90 機械等修理業(別掲を除く)","182.0","896.0","743.0","153.0","687.0","600.0","87.0","581.0","540.0","41.0"
"　　　　900 管理，補助的経済活動を行う事業所","2.0","1.0","-","1.0","-","-","-","-","-","-"
"　　　　901 機械修理業(電気機械器具を除く)","74.0","539.0","467.0","72.0","445.0","399.0","46.0","382.0","358.0","24.0"
"　　　　902 電気機械器具修理業","60.0","241.0","193.0","48.0","199.0","164.0","35.0","165.0","151.0","14.0"
"　　　　903 表具業","19.0","39.0","25.0","14.0","4.0","2.0","2.0","3.0","1.0","2.0"
"　　　　909 その他の修理業","27.0","76.0","58.0","18.0","39.0","35.0","4.0","31.0","30.0","1.0"
"　　　91 職業紹介・労働者派遣業","75.0","1616.0","648.0","968.0","1094.0","481.0","613.0","330.0","200.0","130.0"
"　　　　910 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　911 職業紹介業","34.0","414.0","96.0","318.0","137.0","59.0","78.0","32.0","18.0","14.0"
"　　　　912 労働者派遣業","41.0","1202.0","552.0","650.0","957.0","422.0","535.0","298.0","182.0","116.0"
"　　　92 その他の事業サービス業","417.0","9119.0","5685.0","3434.0","7642.0","4666.0","2976.0","3322.0","2601.0","721.0"
"　　　　920 管理，補助的経済活動を行う事業所","4.0","3.0","2.0","1.0","1.0","-","1.0","-","-","-"
"　　　　921 速記・ワープロ入力・複写業","2.0","11.0","5.0","6.0","9.0","3.0","6.0","3.0","3.0","-"
"　　　　922 建物サービス業","140.0","3933.0","1969.0","1964.0","3092.0","1435.0","1657.0","759.0","516.0","243.0"
"　　　　923 警備業","75.0","2611.0","2317.0","294.0","2311.0","2056.0","255.0","1394.0","1264.0","130.0"
"　　　　929 他に分類されない事業サービス業","196.0","2561.0","1392.0","1169.0","2229.0","1172.0","1057.0","1166.0","818.0","348.0"
"　　　93 政治・経済・文化団体","464.0","2029.0","1090.0","939.0","1545.0","718.0","827.0","1054.0","588.0","466.0"
"　　　　931 経済団体","244.0","1117.0","652.0","465.0","853.0","432.0","421.0","647.0","363.0","284.0"
"　　　　932 労働団体","44.0","132.0","61.0","71.0","86.0","25.0","61.0","49.0","19.0","30.0"
"　　　　933 学術・文化団体","1.0","1.0","-","1.0","-","-","-","-","-","-"
"　　　　934 政治団体","7.0","26.0","17.0","9.0","24.0","16.0","8.0","19.0","11.0","8.0"
"　　　　939 他に分類されない非営利的団体","168.0","753.0","360.0","393.0","582.0","245.0","337.0","339.0","195.0","144.0"
"　　　94 宗教","1479.0","4313.0","2467.0","1846.0","2379.0","1096.0","1283.0","1864.0","942.0","922.0"
"　　　　941 神道系宗教","176.0","543.0","312.0","231.0","277.0","137.0","140.0","218.0","126.0","92.0"
"　　　　942 仏教系宗教","946.0","2940.0","1667.0","1273.0","1650.0","754.0","896.0","1260.0","640.0","620.0"
"　　　　943 キリスト教系宗教","59.0","111.0","59.0","52.0","70.0","29.0","41.0","66.0","28.0","38.0"
"　　　　949 その他の宗教","298.0","719.0","429.0","290.0","382.0","176.0","206.0","320.0","148.0","172.0"
"　　　95 その他のサービス業","17.0","117.0","55.0","62.0","101.0","44.0","57.0","41.0","28.0","13.0"
"　　　　950 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　951 集会場","12.0","69.0","35.0","34.0","60.0","27.0","33.0","24.0","18.0","6.0"
"　　　　952 と畜場","1.0","5.0","5.0","-","4.0","4.0","-","4.0","4.0","-"
"　　　　959 他に分類されないサービス業","4.0","43.0","15.0","28.0","37.0","13.0","24.0","13.0","6.0","7.0"
"　　　R1 サービス業(政治・経済・文化団体、宗教)内格付不能","9.0","51.0","40.0","11.0","19.0","8.0","11.0","16.0","6.0","10.0"
"　　　　R1Z サービス業(政治・経済・文化団体、宗教)内格付不能","9.0","51.0","40.0","11.0","19.0","8.0","11.0","16.0","6.0","10.0"
"　　　R2 サービス業(政治・経済・文化団体、宗教を除く)内格付不能","96.0","562.0","439.0","123.0","356.0","294.0","62.0","329.0","274.0","55.0"
"　　　　R2Z サービス業(政治・経済・文化団体、宗教を除く)内格付不能","96.0","562.0","439.0","123.0","356.0","294.0","62.0","329.0","274.0","55.0"
