"産業中分類","総数(経営組織)事業所数","総数(経営組織)従業者数 (注)","総数(経営組織)従業者数 (注)_男","総数(経営組織)従業者数 (注)_女","総数(経営組織)従業者数 (注)_個人業主 (注)","総数(経営組織)従業者数 (注)_個人業主 (注)_男","総数(経営組織)従業者数 (注)_個人業主 (注)_女","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_男","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_女","総数(経営組織)従業者数 (注)_有給役員(注)","総数(経営組織)従業者数 (注)_有給役員(注)_男","総数(経営組織)従業者数 (注)_有給役員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)_男","総数(経営組織)従業者数 (注)_正社員・正職員(注)_正社員・正職員以外 (注)_女","総数(経営組織)従業者数 (注)_臨時雇用者 (注)","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_男","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_個人業主 (注)","個人_従業者数(注)_個人業主 (注)_男","個人_従業者数(注)_個人業主 (注)_女","個人_従業者数(注)_無給の家族従業者(注)","個人_従業者数(注)_無給の家族従業者(注)_男","個人_従業者数(注)_無給の家族従業者(注)_女","個人_従業者数(注)_常用雇用者(注)","個人_従業者数(注)_常用雇用者(注)_男","個人_従業者数(注)_常用雇用者(注)_女","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_男","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_女","個人_従業者数(注)_臨時雇用者(注)","個人_従業者数(注)_臨時雇用者(注)_男","個人_従業者数(注)_臨時雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_有給役員(注)","法人_従業者数(注)_有給役員(注)_男","法人_従業者数(注)_有給役員(注)_女","法人_従業者数(注)_常用雇用者 (注)","法人_従業者数(注)_常用雇用者 (注)_男","法人_従業者数(注)_常用雇用者 (注)_女","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人_従業者数(注)_臨時雇用者(注)","法人_従業者数(注)_臨時雇用者(注)_男","法人_従業者数(注)_臨時雇用者(注)_女","会社_事業所数","会社_従業者数(注)","会社_従業者数(注)_男","会社_従業者数(注)_女","会社_従業者数(注)_有給役員(注)","会社_従業者数(注)_有給役員(注)_男","会社_従業者数(注)_有給役員(注)_女","会社_従業者数(注)_常用雇用者 (注)","会社_従業者数(注)_常用雇用者 (注)_男","会社_従業者数(注)_常用雇用者 (注)_女","会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社_従業者数(注)_臨時雇用者(注)","会社_従業者数(注)_臨時雇用者(注)_男","会社_従業者数(注)_臨時雇用者(注)_女","株式・有限・相互会社_事業所数","株式・有限・相互会社_従業者数(注)","株式・有限・相互会社_従業者数(注)_男","株式・有限・相互会社_従業者数(注)_女","株式・有限・相互会社_従業者数(注)_有給役員(注)","株式・有限・相互会社_従業者数(注)_有給役員(注)_男","株式・有限・相互会社_従業者数(注)_有給役員(注)_女","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_男","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_女","株式・有限・相互会社_常用雇用者 (注)_従業者数(注)うち正社員・正職員 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","株式・有限・相互会社_従業者数(注)常用雇用者 (注)うち正社員・正職員 (注)_女","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_男","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_女","合名・合資会社_事業所数","合名・合資会社_従業者数(注)","合名・合資会社_従業者数(注)_男","合名・合資会社_従業者数(注)_女","株合名・合資会社_従業者数(注)_有給役員(注)","合名・合資会社_従業者数(注)_有給役員(注)_男","合名・合資会社_従業者数(注)_有給役員(注)_女","合名・合資会社_従業者数(注)_常用雇用者 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_女","合名・合資会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合名・合資会社_従業者数(注)_臨時雇用者(注)","合名・合資会社_従業者数(注)_臨時雇用者(注)_男","合名・合資会社_従業者数(注)_臨時雇用者(注)_女","合同会社_事業所数","合同会社_従業者数(注)","合同会社_従業者数(注)_男","合同会社_従業者数(注)_女","合同会社_従業者数(注)_有給役員(注)","合同会社_従業者数(注)_有給役員(注)_男","合同会社_従業者数(注)_有給役員(注)_女","合同会社_従業者数(注)_常用雇用者 (注)","合同会社_従業者数(注)_常用雇用者 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_女","合同会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合同会社_従業者数(注)_臨時雇用者(注)","合同会社_従業者数(注)_臨時雇用者(注)_男","合同会社_従業者数(注)_臨時雇用者(注)_女","外国の会社_事業所数","外国の会社_従業者数(注)","外国の会社_従業者数(注)_男","外国の会社_従業者数(注)_女","外国の会社_従業者数(注)_有給役員(注)","外国の会社_従業者数(注)_有給役員(注)_男","外国の会社_従業者数(注)_有給役員(注)_女","外国の会社_従業者数(注)_常用雇用者 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_女","外国の会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","外国の会社_従業者数(注)_臨時雇用者(注)","外国の会社_従業者数(注)_臨時雇用者(注)_男","外国の会社_従業者数(注)_臨時雇用者(注)_女","会社以外の法人_事業所数","会社以外の法人_従業者数(注)","会社以外の法人_従業者数(注)_男","会社以外の法人_従業者数(注)_女","会社以外の法人_従業者数(注)_有給役員(注)","会社以外の法人_従業者数(注)_有給役員(注)_男","会社以外の法人_従業者数(注)_有給役員(注)_女","会社以外の法人_従業者数(注)_常用雇用者 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_女","会社以外の法人_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社以外の法人_従業者数(注)_臨時雇用者(注)","会社以外の法人_従業者数(注)_臨時雇用者(注)_男","会社以外の法人_従業者数(注)_臨時雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_有給役員(注)","法人でない団体_従業者数(注)_有給役員(注)_男","法人でない団体_従業者数(注)_有給役員(注)_女","法人でない団体_従業者数(注)_常用雇用者 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_女","法人でない団体_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人でない団体_従業者数(注)_臨時雇用者(注)","法人でない団体_従業者数(注)_臨時雇用者(注)_男","法人でない団体_従業者数(注)_臨時雇用者(注)_女"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　59 機械器具小売業","1520.0","7647.0","5434.0","2213.0","953.0","927.0","26.0","448.0","76.0","372.0","653.0","453.0","200.0","5410.0","3880.0","1530.0","4450.0","3498.0","952.0","960.0","382.0","578.0","183.0","98.0","85.0","971.0","2420.0","1559.0","861.0","953.0","927.0","26.0","448.0","76.0","372.0","924.0","500.0","424.0","709.0","429.0","280.0","95.0","56.0","39.0","548.0","5221.0","3871.0","1350.0","652.0","452.0","200.0","4481.0","3377.0","1104.0","3738.0","3066.0","672.0","88.0","42.0","46.0","547.0","5220.0","3870.0","1350.0","652.0","452.0","200.0","4480.0","3376.0","1104.0","3737.0","3065.0","672.0","88.0","42.0","46.0","545.0","5194.0","3850.0","1344.0","650.0","451.0","199.0","4456.0","3357.0","1099.0","3713.0","3046.0","667.0","88.0","42.0","46.0","2.0","26.0","20.0","6.0","2.0","1.0","1.0","24.0","19.0","5.0","24.0","19.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","1.0","1.0","-","-","-","-","1.0","1.0","-","1.0","1.0","-","-","-","-","1.0","6.0","4.0","2.0","1.0","1.0","-","5.0","3.0","2.0","3.0","3.0","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業","4264.0","21729.0","9927.0","11694.0","2585.0","1784.0","801.0","1219.0","238.0","981.0","1646.0","1032.0","614.0","14306.0","6270.0","7928.0","5973.0","3599.0","2370.0","8333.0","2671.0","5558.0","1973.0","603.0","1370.0","2659.0","7865.0","3623.0","4242.0","2585.0","1784.0","801.0","1219.0","238.0","981.0","3425.0","1357.0","2068.0","1433.0","668.0","765.0","636.0","244.0","392.0","1601.0","13853.0","6298.0","7447.0","1645.0","1031.0","614.0","10871.0","4908.0","5855.0","4533.0","2926.0","1603.0","1337.0","359.0","978.0","1533.0","13252.0","5919.0","7225.0","1602.0","993.0","609.0","10324.0","4573.0","5643.0","4206.0","2672.0","1530.0","1326.0","353.0","973.0","1527.0","13219.0","5908.0","7203.0","1594.0","988.0","606.0","10299.0","4567.0","5624.0","4192.0","2666.0","1522.0","1326.0","353.0","973.0","6.0","33.0","11.0","22.0","8.0","5.0","3.0","25.0","6.0","19.0","14.0","6.0","8.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","68.0","601.0","379.0","222.0","43.0","38.0","5.0","547.0","335.0","212.0","327.0","254.0","73.0","11.0","6.0","5.0","4.0","11.0","6.0","5.0","1.0","1.0","-","10.0","5.0","5.0","7.0","5.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業","302.0","1418.0","738.0","680.0","151.0","95.0","56.0","55.0","7.0","48.0","186.0","125.0","61.0","964.0","481.0","483.0","606.0","412.0","194.0","358.0","69.0","289.0","62.0","30.0","32.0","152.0","349.0","150.0","199.0","151.0","95.0","56.0","55.0","7.0","48.0","100.0","25.0","75.0","45.0","20.0","25.0","43.0","23.0","20.0","150.0","1069.0","588.0","481.0","186.0","125.0","61.0","864.0","456.0","408.0","561.0","392.0","169.0","19.0","7.0","12.0","143.0","1001.0","574.0","427.0","183.0","122.0","61.0","804.0","445.0","359.0","547.0","382.0","165.0","14.0","7.0","7.0","143.0","1001.0","574.0","427.0","183.0","122.0","61.0","804.0","445.0","359.0","547.0","382.0","165.0","14.0","7.0","7.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.0","68.0","14.0","54.0","3.0","3.0","-","60.0","11.0","49.0","14.0","10.0","4.0","5.0","-","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　I1 卸売業 内格付不能_","46.0","265.0","155.0","110.0","16.0","16.0","-","9.0","1.0","8.0","41.0","29.0","12.0","183.0","101.0","82.0","136.0","92.0","44.0","47.0","9.0","38.0","16.0","8.0","8.0","16.0","56.0","29.0","27.0","16.0","16.0","-","9.0","1.0","8.0","26.0","9.0","17.0","11.0","6.0","5.0","5.0","3.0","2.0","30.0","209.0","126.0","83.0","41.0","29.0","12.0","157.0","92.0","65.0","125.0","86.0","39.0","11.0","5.0","6.0","27.0","197.0","119.0","78.0","41.0","29.0","12.0","148.0","88.0","60.0","120.0","85.0","35.0","8.0","2.0","6.0","26.0","195.0","118.0","77.0","41.0","29.0","12.0","146.0","87.0","59.0","118.0","84.0","34.0","8.0","2.0","6.0","1.0","2.0","1.0","1.0","-","-","-","2.0","1.0","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.0","12.0","7.0","5.0","-","-","-","9.0","4.0","5.0","5.0","1.0","4.0","3.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　I2 小売業 内格付不能_","68.0","266.0","121.0","145.0","39.0","31.0","8.0","18.0","1.0","17.0","30.0","18.0","12.0","169.0","71.0","98.0","98.0","63.0","35.0","71.0","8.0","63.0","10.0","-","10.0","40.0","111.0","45.0","66.0","39.0","31.0","8.0","18.0","1.0","17.0","52.0","13.0","39.0","20.0","10.0","10.0","2.0","-","2.0","28.0","155.0","76.0","79.0","30.0","18.0","12.0","117.0","58.0","59.0","78.0","53.0","25.0","8.0","-","8.0","23.0","127.0","56.0","71.0","29.0","17.0","12.0","92.0","39.0","53.0","60.0","38.0","22.0","6.0","-","6.0","23.0","127.0","56.0","71.0","29.0","17.0","12.0","92.0","39.0","53.0","60.0","38.0","22.0","6.0","-","6.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.0","28.0","20.0","8.0","1.0","1.0","-","25.0","19.0","6.0","18.0","15.0","3.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_","771.0","10507.0","4579.0","5928.0","118.0","101.0","17.0","30.0","8.0","22.0","547.0","423.0","124.0","9719.0","4016.0","5703.0","7750.0","3714.0","4036.0","1969.0","302.0","1667.0","93.0","31.0","62.0","119.0","262.0","151.0","111.0","118.0","101.0","17.0","30.0","8.0","22.0","108.0","39.0","69.0","80.0","31.0","49.0","6.0","3.0","3.0","651.0","10219.0","4405.0","5814.0","537.0","413.0","124.0","9595.0","3964.0","5631.0","7658.0","3673.0","3985.0","87.0","28.0","59.0","509.0","7906.0","2917.0","4989.0","366.0","247.0","119.0","7484.0","2653.0","4831.0","5815.0","2402.0","3413.0","56.0","17.0","39.0","503.0","7826.0","2848.0","4978.0","364.0","245.0","119.0","7406.0","2586.0","4820.0","5738.0","2335.0","3403.0","56.0","17.0","39.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","2.0","2.0","-","2.0","2.0","-","-","-","-","-","-","-","-","-","-","4.0","78.0","67.0","11.0","-","-","-","78.0","67.0","11.0","77.0","67.0","10.0","-","-","-","142.0","2313.0","1488.0","825.0","171.0","166.0","5.0","2111.0","1311.0","800.0","1843.0","1271.0","572.0","31.0","11.0","20.0","1.0","26.0","23.0","3.0","10.0","10.0","-","16.0","13.0","3.0","12.0","10.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　62 銀行業","113.0","3314.0","1323.0","1991.0","-","-","-","-","-","-","20.0","20.0","-","3294.0","1303.0","1991.0","2257.0","1229.0","1028.0","1037.0","74.0","963.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","113.0","3314.0","1323.0","1991.0","20.0","20.0","-","3294.0","1303.0","1991.0","2257.0","1229.0","1028.0","-","-","-","113.0","3314.0","1323.0","1991.0","20.0","20.0","-","3294.0","1303.0","1991.0","2257.0","1229.0","1028.0","-","-","-","113.0","3314.0","1323.0","1991.0","20.0","20.0","-","3294.0","1303.0","1991.0","2257.0","1229.0","1028.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　63 協同組織金融業","99.0","1580.0","956.0","624.0","-","-","-","-","-","-","66.0","66.0","-","1501.0","887.0","614.0","1303.0","859.0","444.0","198.0","28.0","170.0","13.0","3.0","10.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","99.0","1580.0","956.0","624.0","66.0","66.0","-","1501.0","887.0","614.0","1303.0","859.0","444.0","13.0","3.0","10.0","2.0","40.0","22.0","18.0","-","-","-","40.0","22.0","18.0","31.0","21.0","10.0","-","-","-","2.0","40.0","22.0","18.0","-","-","-","40.0","22.0","18.0","31.0","21.0","10.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","97.0","1540.0","934.0","606.0","66.0","66.0","-","1461.0","865.0","596.0","1272.0","838.0","434.0","13.0","3.0","10.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　64 貸金業，クレジットカード業等非預金信用機関","44.0","200.0","120.0","80.0","17.0","13.0","4.0","4.0","2.0","2.0","25.0","13.0","12.0","154.0","92.0","62.0","130.0","87.0","43.0","24.0","5.0","19.0","-","-","-","17.0","49.0","25.0","24.0","17.0","13.0","4.0","4.0","2.0","2.0","28.0","10.0","18.0","23.0","10.0","13.0","-","-","-","27.0","151.0","95.0","56.0","25.0","13.0","12.0","126.0","82.0","44.0","107.0","77.0","30.0","-","-","-","25.0","149.0","94.0","55.0","25.0","13.0","12.0","124.0","81.0","43.0","105.0","76.0","29.0","-","-","-","25.0","149.0","94.0","55.0","25.0","13.0","12.0","124.0","81.0","43.0","105.0","76.0","29.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","2.0","1.0","1.0","-","-","-","2.0","1.0","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　65 金融商品取引業，商品先物取引業","26.0","429.0","265.0","164.0","-","-","-","-","-","-","4.0","3.0","1.0","425.0","262.0","163.0","372.0","250.0","122.0","53.0","12.0","41.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26.0","429.0","265.0","164.0","4.0","3.0","1.0","425.0","262.0","163.0","372.0","250.0","122.0","-","-","-","26.0","429.0","265.0","164.0","4.0","3.0","1.0","425.0","262.0","163.0","372.0","250.0","122.0","-","-","-","24.0","427.0","263.0","164.0","2.0","1.0","1.0","425.0","262.0","163.0","372.0","250.0","122.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","2.0","2.0","-","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　66 補助的金融業等","9.0","158.0","125.0","33.0","-","-","-","-","-","-","19.0","18.0","1.0","129.0","102.0","27.0","112.0","91.0","21.0","17.0","11.0","6.0","10.0","5.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.0","132.0","102.0","30.0","9.0","8.0","1.0","113.0","89.0","24.0","100.0","81.0","19.0","10.0","5.0","5.0","6.0","52.0","36.0","16.0","4.0","3.0","1.0","38.0","28.0","10.0","26.0","20.0","6.0","10.0","5.0","5.0","6.0","52.0","36.0","16.0","4.0","3.0","1.0","38.0","28.0","10.0","26.0","20.0","6.0","10.0","5.0","5.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","80.0","66.0","14.0","5.0","5.0","-","75.0","61.0","14.0","74.0","61.0","13.0","-","-","-","1.0","26.0","23.0","3.0","10.0","10.0","-","16.0","13.0","3.0","12.0","10.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　J 金融業，保険業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)","463.0","4356.0","1475.0","2881.0","101.0","88.0","13.0","26.0","6.0","20.0","369.0","263.0","106.0","3806.0","1102.0","2704.0","3224.0","939.0","2285.0","582.0","163.0","419.0","54.0","16.0","38.0","102.0","213.0","126.0","87.0","101.0","88.0","13.0","26.0","6.0","20.0","80.0","29.0","51.0","57.0","21.0","36.0","6.0","3.0","3.0","361.0","4143.0","1349.0","2794.0","369.0","263.0","106.0","3726.0","1073.0","2653.0","3167.0","918.0","2249.0","48.0","13.0","35.0","337.0","3922.0","1177.0","2745.0","313.0","208.0","105.0","3563.0","957.0","2606.0","3024.0","806.0","2218.0","46.0","12.0","34.0","333.0","3844.0","1110.0","2734.0","313.0","208.0","105.0","3485.0","890.0","2595.0","2947.0","739.0","2208.0","46.0","12.0","34.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.0","78.0","67.0","11.0","-","-","-","78.0","67.0","11.0","77.0","67.0","10.0","-","-","-","24.0","221.0","172.0","49.0","56.0","55.0","1.0","163.0","116.0","47.0","143.0","112.0","31.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　JZ 金融業，保険業 内格付不能_","17.0","470.0","315.0","155.0","-","-","-","-","-","-","44.0","40.0","4.0","410.0","268.0","142.0","352.0","259.0","93.0","58.0","9.0","49.0","16.0","7.0","9.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.0","470.0","315.0","155.0","44.0","40.0","4.0","410.0","268.0","142.0","352.0","259.0","93.0","16.0","7.0","9.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","17.0","470.0","315.0","155.0","44.0","40.0","4.0","410.0","268.0","142.0","352.0","259.0","93.0","16.0","7.0","9.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_","3018.0","7942.0","4572.0","3365.0","1901.0","1317.0","583.0","553.0","134.0","419.0","1677.0","1006.0","671.0","3538.0","1994.0","1540.0","2256.0","1443.0","811.0","1282.0","551.0","729.0","273.0","121.0","152.0","1924.0","2944.0","1605.0","1338.0","1901.0","1317.0","583.0","553.0","134.0","419.0","400.0","121.0","279.0","250.0","84.0","166.0","90.0","33.0","57.0","1079.0","4941.0","2926.0","2011.0","1652.0","984.0","668.0","3106.0","1854.0","1248.0","1995.0","1351.0","642.0","183.0","88.0","95.0","1033.0","4725.0","2749.0","1972.0","1565.0","902.0","663.0","2979.0","1761.0","1214.0","1933.0","1300.0","631.0","181.0","86.0","95.0","1016.0","4670.0","2717.0","1949.0","1530.0","882.0","648.0","2960.0","1750.0","1206.0","1914.0","1289.0","623.0","180.0","85.0","95.0","14.0","47.0","28.0","19.0","30.0","18.0","12.0","16.0","9.0","7.0","16.0","9.0","7.0","1.0","1.0","-","3.0","8.0","4.0","4.0","5.0","2.0","3.0","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","46.0","216.0","177.0","39.0","87.0","82.0","5.0","127.0","93.0","34.0","62.0","51.0","11.0","2.0","2.0","-","15.0","57.0","41.0","16.0","25.0","22.0","3.0","32.0","19.0","13.0","11.0","8.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　K 不動産業，物品賃貸業_　　　68 不動産取引業","332.0","1253.0","790.0","463.0","112.0","105.0","7.0","35.0","3.0","32.0","333.0","229.0","104.0","743.0","441.0","302.0","575.0","387.0","188.0","168.0","54.0","114.0","30.0","12.0","18.0","112.0","208.0","133.0","75.0","112.0","105.0","7.0","35.0","3.0","32.0","54.0","24.0","30.0","41.0","20.0","21.0","7.0","1.0","6.0","218.0","1031.0","644.0","387.0","324.0","220.0","104.0","684.0","413.0","271.0","532.0","365.0","167.0","23.0","11.0","12.0","210.0","994.0","614.0","380.0","311.0","207.0","104.0","661.0","397.0","264.0","525.0","359.0","166.0","22.0","10.0","12.0","206.0","985.0","608.0","377.0","306.0","203.0","103.0","657.0","395.0","262.0","521.0","357.0","164.0","22.0","10.0","12.0","2.0","4.0","3.0","1.0","3.0","3.0","-","1.0","-","1.0","1.0","-","1.0","-","-","-","2.0","5.0","3.0","2.0","2.0","1.0","1.0","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","8.0","37.0","30.0","7.0","13.0","13.0","-","23.0","16.0","7.0","7.0","6.0","1.0","1.0","1.0","-","2.0","14.0","13.0","1.0","9.0","9.0","-","5.0","4.0","1.0","2.0","2.0","-","-","-","-"
