"産業小分類","事　　業　　所　　数_総　数","事　　業　　所　　数_総　数_存続事業所","事　　業　　所　　数_総　数_新設事業所","事　　業　　所　　数_総　数廃業事業所","従　　業　　者　　数_総　　数","従　　業　　者　　数_総　　数_男","従　　業　　者　　数_総　　数_女","従　　業　　者　　数_総　　数_存続事業所","従　　業　　者　　数_総　　数_存続事業所男","従　　業　　者　　数_総　　数_存続事業所女","従　　業　　者　　数_総　　数_新設事業所","従　　業　　者　　数_総　　数_新設事業所男","従　　業　　者　　数_総　　数_新設事業所女","従　　業　　者　　数_廃業事業所","従　　業　　者　　数_廃業事業所_男","従　　業　　者　　数_廃業事業所_女"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　47 倉庫業_","45.0","44.0","1.0","7.0","1121.0","426.0","695.0","953.0","358.0","595.0","168.0","68.0","100.0","53.0","20.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　47 倉庫業_　　　　470 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","20.0","16.0","4.0","20.0","16.0","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　47 倉庫業_　　　　471 倉庫業(冷蔵倉庫業を除く)","30.0","29.0","1.0","7.0","815.0","299.0","516.0","647.0","231.0","416.0","168.0","68.0","100.0","53.0","20.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　47 倉庫業_　　　　472 冷蔵倉庫業","13.0","13.0","-","-","286.0","111.0","175.0","286.0","111.0","175.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業_","99.0","97.0","2.0","18.0","1773.0","1459.0","314.0","1770.0","1457.0","313.0","3.0","2.0","1.0","112.0","98.0","14.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業_　　　　480 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","5.0","4.0","1.0","5.0","4.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業_　　　　481 港湾運送業","11.0","11.0","-","2.0","462.0","439.0","23.0","462.0","439.0","23.0","-","-","-","11.0","10.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業_　　　　482 貨物運送取扱業(集配利用運送業を除く)","20.0","19.0","1.0","5.0","177.0","149.0","28.0","175.0","147.0","28.0","2.0","2.0","-","28.0","21.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業_　　　　483 運送代理店","7.0","7.0","-","3.0","34.0","18.0","16.0","34.0","18.0","16.0","-","-","-","9.0","7.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業_　　　　484 こん包業","10.0","10.0","-","1.0","196.0","146.0","50.0","196.0","146.0","50.0","-","-","-","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業_　　　　485 運輸施設提供業","8.0","8.0","-","3.0","311.0","284.0","27.0","311.0","284.0","27.0","-","-","-","18.0","18.0","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業_　　　　489 その他の運輸に附帯するサービス業","42.0","41.0","1.0","4.0","588.0","419.0","169.0","587.0","419.0","168.0","1.0","-","1.0","45.0","41.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　49 郵便業(信書便事業を含む)_","51.0","50.0","1.0","-","2063.0","1607.0","456.0","2046.0","1593.0","453.0","17.0","14.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　49 郵便業(信書便事業を含む)_　　　　490 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　49 郵便業(信書便事業を含む)_　　　　491 郵便業(信書便事業を含む)","51.0","50.0","1.0","-","2063.0","1607.0","456.0","2046.0","1593.0","453.0","17.0","14.0","3.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　HZ 運輸業，郵便業 内格付不能_","13.0","13.0","-","-","162.0","87.0","75.0","162.0","87.0","75.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　HZZ 運輸業，郵便業 内格付不能_","13.0","13.0","-","-","162.0","87.0","75.0","162.0","87.0","75.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_","13910.0","13420.0","490.0","2168.0","84766.0","40247.0","44411.0","81110.0","38753.0","42249.0","3656.0","1494.0","2162.0","9149.0","4316.0","4833.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　50 各種商品卸売業_","9.0","9.0","-","-","62.0","44.0","18.0","62.0","44.0","18.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　50 各種商品卸売業_　　　　500 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　50 各種商品卸売業_　　　　501 各種商品卸売業","9.0","9.0","-","-","62.0","44.0","18.0","62.0","44.0","18.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　51 繊維・衣服等卸売業_","106.0","104.0","2.0","16.0","755.0","350.0","405.0","751.0","348.0","403.0","4.0","2.0","2.0","49.0","28.0","21.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　51 繊維・衣服等卸売業_　　　　510 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","10.0","6.0","4.0","10.0","6.0","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　51 繊維・衣服等卸売業_　　　　511 繊維品卸売業(衣服，身の回り品を除く)","21.0","21.0","-","3.0","101.0","41.0","60.0","101.0","41.0","60.0","-","-","-","4.0","3.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　51 繊維・衣服等卸売業_　　　　512 衣服卸売業","27.0","26.0","1.0","6.0","189.0","86.0","103.0","188.0","85.0","103.0","1.0","1.0","-","17.0","8.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　51 繊維・衣服等卸売業_　　　　513 身の回り品卸売業","56.0","55.0","1.0","7.0","455.0","217.0","238.0","452.0","216.0","236.0","3.0","1.0","2.0","28.0","17.0","11.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　52 飲食料品卸売業_","857.0","840.0","17.0","117.0","7108.0","3958.0","3150.0","6797.0","3840.0","2957.0","311.0","118.0","193.0","645.0","393.0","252.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　52 飲食料品卸売業_　　　　520 管理，補助的経済活動を行う事業所","5.0","5.0","-","-","66.0","28.0","38.0","66.0","28.0","38.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　52 飲食料品卸売業_　　　　521 農畜産物・水産物卸売業","508.0","496.0","12.0","59.0","4715.0","2563.0","2152.0","4430.0","2466.0","1964.0","285.0","97.0","188.0","339.0","182.0","157.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　52 飲食料品卸売業_　　　　522 食料・飲料卸売業","344.0","339.0","5.0","58.0","2327.0","1367.0","960.0","2301.0","1346.0","955.0","26.0","21.0","5.0","306.0","211.0","95.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業_","670.0","649.0","21.0","69.0","4355.0","3144.0","1211.0","4215.0","3037.0","1178.0","140.0","107.0","33.0","360.0","273.0","87.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業_　　　　530 管理，補助的経済活動を行う事業所","5.0","5.0","-","-","23.0","18.0","5.0","23.0","18.0","5.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業_　　　　531 建築材料卸売業","353.0","347.0","6.0","40.0","2128.0","1523.0","605.0","2095.0","1497.0","598.0","33.0","26.0","7.0","154.0","125.0","29.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業_　　　　532 化学製品卸売業","137.0","131.0","6.0","11.0","972.0","707.0","265.0","918.0","663.0","255.0","54.0","44.0","10.0","51.0","35.0","16.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業_　　　　533 石油・鉱物卸売業","68.0","67.0","1.0","5.0","543.0","400.0","143.0","542.0","400.0","142.0","1.0","-","1.0","23.0","13.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業_　　　　534 鉄鋼製品卸売業","47.0","45.0","2.0","5.0","300.0","209.0","91.0","289.0","201.0","88.0","11.0","8.0","3.0","79.0","61.0","18.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業_　　　　535 非鉄金属卸売業","3.0","2.0","1.0","-","8.0","6.0","2.0","7.0","6.0","1.0","1.0","-","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業_　　　　536 再生資源卸売業","57.0","52.0","5.0","8.0","381.0","281.0","100.0","341.0","252.0","89.0","40.0","29.0","11.0","53.0","39.0","14.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業_","460.0","447.0","13.0","84.0","3127.0","2367.0","760.0","3090.0","2338.0","752.0","37.0","29.0","8.0","464.0","356.0","108.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業_　　　　540 管理，補助的経済活動を行う事業所","4.0","4.0","-","1.0","11.0","8.0","3.0","11.0","8.0","3.0","-","-","-","7.0","5.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業_　　　　541 産業機械器具卸売業","159.0","153.0","6.0","41.0","935.0","717.0","218.0","923.0","708.0","215.0","12.0","9.0","3.0","217.0","177.0","40.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業_　　　　542 自動車卸売業","116.0","114.0","2.0","18.0","759.0","566.0","193.0","756.0","563.0","193.0","3.0","3.0","-","63.0","54.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業_　　　　543 電気機械器具卸売業","119.0","117.0","2.0","13.0","793.0","617.0","176.0","780.0","608.0","172.0","13.0","9.0","4.0","57.0","41.0","16.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業_　　　　549 その他の機械器具卸売業","62.0","59.0","3.0","11.0","629.0","459.0","170.0","620.0","451.0","169.0","9.0","8.0","1.0","120.0","79.0","41.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業_","704.0","678.0","26.0","104.0","5294.0","3169.0","2125.0","5154.0","3107.0","2047.0","140.0","62.0","78.0","812.0","250.0","562.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業_　　　　550 管理，補助的経済活動を行う事業所","7.0","7.0","-","-","46.0","21.0","25.0","46.0","21.0","25.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業_　　　　551 家具・建具・じゅう器等卸売業","168.0","165.0","3.0","23.0","986.0","571.0","415.0","977.0","566.0","411.0","9.0","5.0","4.0","94.0","58.0","36.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業_　　　　552 医薬品・化粧品等卸売業","177.0","167.0","10.0","27.0","1607.0","988.0","619.0","1534.0","963.0","571.0","73.0","25.0","48.0","95.0","18.0","77.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業_　　　　553 紙・紙製品卸売業","46.0","45.0","1.0","4.0","290.0","164.0","126.0","288.0","164.0","124.0","2.0","-","2.0","13.0","7.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業_　　　　559 他に分類されない卸売業","306.0","294.0","12.0","50.0","2365.0","1425.0","940.0","2309.0","1393.0","916.0","56.0","32.0","24.0","610.0","167.0","443.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　56 各種商品小売業_","28.0","28.0","-","1.0","2843.0","624.0","2219.0","2843.0","624.0","2219.0","-","-","-","2.0","-","2.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　56 各種商品小売業_　　　　560 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　56 各種商品小売業_　　　　561 百貨店，総合スーパー","14.0","14.0","-","-","2759.0","600.0","2159.0","2759.0","600.0","2159.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　56 各種商品小売業_　　　　569 その他の各種商品小売業(従業者が常時50人未満のもの)","14.0","14.0","-","1.0","84.0","24.0","60.0","84.0","24.0","60.0","-","-","-","2.0","-","2.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業_","1372.0","1293.0","79.0","232.0","4551.0","1218.0","3333.0","4198.0","1147.0","3051.0","353.0","71.0","282.0","666.0","198.0","468.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業_　　　　570 管理，補助的経済活動を行う事業所","5.0","4.0","1.0","1.0","40.0","13.0","27.0","31.0","9.0","22.0","9.0","4.0","5.0","10.0","4.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業_　　　　571 呉服・服地・寝具小売業","228.0","225.0","3.0","32.0","624.0","255.0","369.0","614.0","251.0","363.0","10.0","4.0","6.0","100.0","35.0","65.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業_　　　　572 男子服小売業","142.0","133.0","9.0","27.0","607.0","240.0","367.0","480.0","211.0","269.0","127.0","29.0","98.0","79.0","36.0","43.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業_　　　　573 婦人・子供服小売業","623.0","586.0","37.0","116.0","1955.0","388.0","1567.0","1833.0","369.0","1464.0","122.0","19.0","103.0","322.0","67.0","255.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業_　　　　574 靴・履物小売業","90.0","87.0","3.0","18.0","299.0","115.0","184.0","287.0","108.0","179.0","12.0","7.0","5.0","50.0","17.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業_　　　　579 その他の織物・衣服・身の回り品小売業","284.0","258.0","26.0","38.0","1026.0","207.0","819.0","953.0","199.0","754.0","73.0","8.0","65.0","105.0","39.0","66.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_","3504.0","3376.0","128.0","641.0","25346.0","8998.0","16348.0","24037.0","8551.0","15486.0","1309.0","447.0","862.0","2718.0","1039.0","1679.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_　　　　580 管理，補助的経済活動を行う事業所","12.0","10.0","2.0","-","161.0","63.0","98.0","155.0","58.0","97.0","6.0","5.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_　　　　581 各種食料品小売業","355.0","348.0","7.0","58.0","9799.0","2924.0","6875.0","9309.0","2792.0","6517.0","490.0","132.0","358.0","570.0","160.0","410.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_　　　　582 野菜・果実小売業","259.0","251.0","8.0","53.0","1106.0","402.0","704.0","1075.0","396.0","679.0","31.0","6.0","25.0","187.0","54.0","133.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_　　　　583 食肉小売業","140.0","132.0","8.0","11.0","563.0","270.0","293.0","531.0","253.0","278.0","32.0","17.0","15.0","53.0","31.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_　　　　584 鮮魚小売業","228.0","219.0","9.0","54.0","876.0","468.0","408.0","852.0","451.0","401.0","24.0","17.0","7.0","111.0","54.0","57.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_　　　　585 酒小売業","596.0","592.0","4.0","117.0","1578.0","728.0","850.0","1569.0","724.0","845.0","9.0","4.0","5.0","313.0","147.0","166.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_　　　　586 菓子・パン小売業","604.0","573.0","31.0","113.0","2769.0","755.0","2014.0","2615.0","714.0","1901.0","154.0","41.0","113.0","343.0","93.0","250.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業_　　　　589 その他の飲食料品小売業","1310.0","1251.0","59.0","235.0","8494.0","3388.0","5106.0","7931.0","3163.0","4768.0","563.0","225.0","338.0","1141.0","500.0","641.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　59 機械器具小売業_","1520.0","1476.0","44.0","181.0","7647.0","5434.0","2213.0","7469.0","5326.0","2143.0","178.0","108.0","70.0","660.0","462.0","198.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　59 機械器具小売業_　　　　590 管理，補助的経済活動を行う事業所","3.0","3.0","-","2.0","63.0","48.0","15.0","63.0","48.0","15.0","-","-","-","6.0","5.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　59 機械器具小売業_　　　　591 自動車小売業","831.0","807.0","24.0","96.0","4744.0","3715.0","1029.0","4672.0","3665.0","1007.0","72.0","50.0","22.0","329.0","248.0","81.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　59 機械器具小売業_　　　　592 自転車小売業","77.0","75.0","2.0","14.0","172.0","125.0","47.0","165.0","118.0","47.0","7.0","7.0","-","18.0","14.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　59 機械器具小売業_　　　　593 機械器具小売業(自動車，自転車を除く)","609.0","591.0","18.0","69.0","2668.0","1546.0","1122.0","2569.0","1495.0","1074.0","99.0","51.0","48.0","307.0","195.0","112.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_","4264.0","4137.0","127.0","705.0","21729.0","9927.0","11694.0","20623.0","9434.0","11081.0","1106.0","493.0","613.0","2733.0","1305.0","1428.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　600 管理，補助的経済活動を行う事業所","6.0","6.0","-","1.0","19.0","10.0","9.0","19.0","10.0","9.0","-","-","-","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　601 家具・建具・畳小売業","277.0","267.0","10.0","36.0","1127.0","640.0","487.0","1081.0","625.0","456.0","46.0","15.0","31.0","78.0","57.0","21.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　602 じゅう器小売業","179.0","175.0","4.0","39.0","580.0","176.0","300.0","550.0","175.0","271.0","30.0","1.0","29.0","75.0","26.0","49.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　603 医薬品・化粧品小売業","769.0","738.0","31.0","103.0","4131.0","1029.0","3098.0","3829.0","949.0","2876.0","302.0","80.0","222.0","488.0","128.0","360.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　604 農耕用品小売業","209.0","208.0","1.0","15.0","1094.0","723.0","371.0","866.0","562.0","304.0","228.0","161.0","67.0","58.0","36.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　605 燃料小売業","696.0","687.0","9.0","89.0","3428.0","2320.0","1108.0","3362.0","2272.0","1090.0","66.0","48.0","18.0","441.0","337.0","104.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　606 書籍・文房具小売業","399.0","385.0","14.0","78.0","4682.0","2150.0","2532.0","4487.0","2056.0","2431.0","195.0","94.0","101.0","847.0","387.0","460.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　607 スポーツ用品・がん具・娯楽用品・楽器小売業","271.0","262.0","9.0","48.0","1108.0","571.0","537.0","1067.0","546.0","521.0","41.0","25.0","16.0","139.0","77.0","62.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　608 写真機・時計・眼鏡小売業","228.0","220.0","8.0","21.0","751.0","380.0","371.0","720.0","365.0","355.0","31.0","15.0","16.0","48.0","30.0","18.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　60 その他の小売業_　　　　609 他に分類されない小売業","1230.0","1189.0","41.0","275.0","4809.0","1928.0","2881.0","4642.0","1874.0","2768.0","167.0","54.0","113.0","558.0","226.0","332.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_","302.0","275.0","27.0","18.0","1418.0","738.0","680.0","1363.0","697.0","666.0","55.0","41.0","14.0","40.0","12.0","28.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_　　　　610 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_　　　　611 通信販売・訪問販売小売業","214.0","192.0","22.0","13.0","1130.0","607.0","523.0","1092.0","575.0","517.0","38.0","32.0","6.0","32.0","8.0","24.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_　　　　612 自動販売機による小売業","57.0","57.0","-","5.0","133.0","75.0","58.0","133.0","75.0","58.0","-","-","-","8.0","4.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_　　　　619 その他の無店舗小売業","31.0","26.0","5.0","-","155.0","56.0","99.0","138.0","47.0","91.0","17.0","9.0","8.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_","46.0","45.0","1.0","-","265.0","155.0","110.0","263.0","154.0","109.0","2.0","1.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_","46.0","45.0","1.0","-","265.0","155.0","110.0","263.0","154.0","109.0","2.0","1.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_","68.0","63.0","5.0","-","266.0","121.0","145.0","245.0","106.0","139.0","21.0","15.0","6.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_","68.0","63.0","5.0","-","266.0","121.0","145.0","245.0","106.0","139.0","21.0","15.0","6.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　61 無店舗小売業_","771.0","726.0","45.0","162.0","10507.0","4579.0","5928.0","10089.0","4335.0","5754.0","418.0","244.0","174.0","1416.0","638.0","778.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　62 銀行業_","113.0","112.0","1.0","6.0","3314.0","1323.0","1991.0","3312.0","1321.0","1991.0","2.0","2.0","-","76.0","43.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　62 銀行業_　　　　620 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","243.0","108.0","135.0","243.0","108.0","135.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　62 銀行業_　　　　621 中央銀行","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　62 銀行業_　　　　622 銀行(中央銀行を除く)","112.0","111.0","1.0","6.0","3071.0","1215.0","1856.0","3069.0","1213.0","1856.0","2.0","2.0","-","76.0","43.0","33.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　63 協同組織金融業_","99.0","98.0","1.0","7.0","1580.0","956.0","624.0","1474.0","889.0","585.0","106.0","67.0","39.0","128.0","81.0","47.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　63 協同組織金融業_　　　　630 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　63 協同組織金融業_　　　　631 中小企業等金融業","74.0","74.0","-","3.0","1242.0","776.0","466.0","1242.0","776.0","466.0","-","-","-","8.0","4.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　63 協同組織金融業_　　　　632 農林水産金融業","25.0","24.0","1.0","4.0","338.0","180.0","158.0","232.0","113.0","119.0","106.0","67.0","39.0","120.0","77.0","43.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　64 貸金業，クレジットカード業等非預金信用機関_","44.0","43.0","1.0","37.0","200.0","120.0","80.0","195.0","118.0","77.0","5.0","2.0","3.0","160.0","87.0","73.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　64 貸金業，クレジットカード業等非預金信用機関_　　　　640 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　64 貸金業，クレジットカード業等非預金信用機関_　　　　641 貸金業","16.0","15.0","1.0","29.0","49.0","24.0","25.0","44.0","22.0","22.0","5.0","2.0","3.0","117.0","62.0","55.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　64 貸金業，クレジットカード業等非預金信用機関_　　　　642 質屋","17.0","17.0","-","1.0","51.0","22.0","29.0","51.0","22.0","29.0","-","-","-","1.0","-","1.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　64 貸金業，クレジットカード業等非預金信用機関_　　　　643 クレジットカード業，割賦金融業","5.0","5.0","-","7.0","40.0","30.0","10.0","40.0","30.0","10.0","-","-","-","42.0","25.0","17.0"
